iso,epoch,sym,symbol,tier,score,vr,volz,creep,buyimb,ret5,nh,qv,price,takerbuy,obimb,ret1h,ret4h,ret24h,ret72h,mfe72,mae72,win
2026-07-04T11:58:23.436903+00:00,1783166303.0,SLP,SLP/USDT,🟠上位5%,0.9597,11.281,0.112,0.006,2.237,0.1779,0.447,2986804.0,0.000543,,,0.0018416206261511192,-0.023941068139963106,-0.03314917127071826,-0.03130755064456714,0.0479,-0.0626,0
2026-07-05T08:23:31.360471+00:00,1783239811.0,ARPA,ARPA/USDT,🔴最上位,2.8978,15.498,0.098,0.0038,6.899,0.2,0.287,3280712.0,0.00924,,,-0.016233766233766156,-0.008658008658008698,0.024891774891774743,-0.07683982683982693,0.1634,-0.0823,0
2026-07-05T12:58:04.187577+00:00,1783256284.0,CHR,CHR/USDT,🟠上位5%,0.9112,4.199,2.087,0.0096,1.202,0.066,0.476,3673609.0,0.01518,,,0.0006587615283266679,-0.0013175230566535578,-0.027009222661396604,-0.045454545454545525,0.025,-0.0698,0
2026-07-05T16:38:52.728581+00:00,1783269533.0,OGN,OGN/USDT,🟠上位5%,0.9938,9.893,1.861,0.0079,1.672,0.1968,0.315,9612497.0,0.01739,,,0.02070155261644624,0.017251293847038607,-0.01322599194939611,-0.048303622771707855,0.0477,-0.0604,0
2026-07-05T16:38:52.728581+00:00,1783269533.0,SUN,SUN/USDT,🟠上位5%,0.9794,1.378,2.259,0.0031,1.663,0.0981,0.915,2580499.0,0.0178,,,0.007303370786516883,0.0022471910112360494,0.0011235955056179137,0.046067415730337125,0.0725,-0.0096,0
2026-07-06T12:16:15.846782+00:00,1783340176.0,ARPA,ARPA/USDT,🔴最上位,1.6402,17.435,0.394,0.0041,4.012,0.1631,0.28,2499426.0,0.0092,,,0.01304347826086949,0.003260869565217428,-0.02826086956521734,-0.05652173913043479,0.0315,-0.0913,0
2026-07-06T12:16:15.846782+00:00,1783340176.0,YFI,YFI/USDT,🟠上位5%,1.5068,1.308,11.592,0.0027,1.313,0.1887,0.812,1356830.0,2080.0,,,0.09086538461538463,0.25913461538461546,0.12163461538461529,0.05288461538461542,0.3692,-0.0279,1
2026-07-06T12:16:15.846782+00:00,1783340176.0,KSM,KSM/USDT,🟠上位5%,1.4849,1.795,12.862,0.0043,1.22,0.1262,0.58,1724550.0,3.48,,,0.01724137931034475,0.02298850574712641,-0.04022988505747127,-0.06034482758620685,0.0891,-0.0948,0
2026-07-06T12:16:15.846782+00:00,1783340176.0,SCRT,SCRT/USDT,🟠上位5%,1.4611,5.112,3.227,0.0085,2.597,0.1267,0.702,2424762.0,0.0569,,,0.10896309314587005,0.02811950790861162,-0.06502636203866441,-0.34270650263620384,0.1845,-0.3533,0
2026-07-07T14:28:15.303470+00:00,1783434495.0,SCRT,SCRT/USDT,🟠上位5%,1.1708,7.66,0.641,0.0095,2.451,0.0498,0.441,1767853.0,0.0528,0.4815,0.5276,-0.10227272727272729,-0.14015151515151514,-0.2954545454545455,-0.2405303030303031,-0.0189,-0.303,0
2026-07-07T19:16:01.519004+00:00,1783451762.0,BANANA,BANANA/USDT,🔴最上位,2.0836,6.487,18.527,0.0087,2.342,0.1052,0.414,7122253.0,3.244,0.5285,0.6258,0.0006165228113439447,0.016337854500616533,-0.0644266337854501,0.01726263871763245,0.0724,-0.0749,0
2026-07-07T19:16:01.519004+00:00,1783451762.0,ARPA,ARPA/USDT,🟠上位5%,1.19,18.466,-0.071,0.0043,3.161,0.0714,0.169,1090211.0,0.00855,0.502,0.5747,0.002339181286549641,0.01754385964912264,0.0350877192982455,0.015204678362572999,0.1099,-0.0222,0
2026-07-07T19:16:01.519004+00:00,1783451762.0,SUN,SUN/USDT,🟠上位5%,0.9786,2.119,4.599,0.0053,1.625,0.1204,0.869,4175134.0,0.0187,0.5051,0.6411,-0.0016042780748664054,0.0010695187165774556,-0.0010695187165776776,-0.012299465240641738,0.0203,-0.0225,0
2026-07-07T23:31:07.477672+00:00,1783467067.0,SPELL,SPELL/USDT,🟠上位5%,1.0367,5.252,15.057,0.0026,1.682,0.1949,0.282,10200894.0,0.0001085,0.5058,0.6998,0.021198156682027625,-0.06359447004608287,-0.1225806451612903,-0.16497695852534555,0.0922,-0.1742,0
